Time,PID,Tickets,Pass,Stride,Runtime
100,1,8,0,128,0
100,2,8,0,128,0
100,5,1,0,1024,0
100,4,8,0,128,0
100,6,2,0,512,0
100,7,4,0,256,0
100,8,8,0,128,0
100,9,16,0,64,0
100,10,32,0,32,0
100,11,32,0,32,0
100,12,32,0,32,0
100,13,32,0,32,0
100,14,32,0,32,0
964,1,8,0,128,0
964,2,8,0,128,0
964,5,1,0,1024,0
964,4,8,0,128,0
964,6,2,0,512,0
964,7,4,0,256,0
964,8,8,0,128,0
964,9,16,0,64,0
964,10,32,0,32,0
964,11,32,0,32,0
964,12,32,0,32,0
964,13,32,0,32,0
964,14,32,0,32,0
1874,1,8,0,128,0
1874,2,8,0,128,0
1874,5,1,0,1024,0
1874,4,8,0,128,0
1874,6,2,0,512,0
1874,7,4,0,256,0
1874,8,8,0,128,0
1874,9,16,0,64,0
1874,10,32,0,32,0
1874,11,32,0,32,0
1874,12,32,0,32,0
1874,13,32,0,32,0
1874,14,32,0,32,0
2875,1,8,0,128,0
2875,2,8,0,128,0
2875,5,1,0,1024,0
2875,4,8,0,128,0
2875,6,2,0,512,0
2875,7,4,0,256,0
2875,8,8,0,128,0
2875,9,16,0,64,0
2875,10,32,0,32,0
2875,11,32,0,32,0
2875,12,32,0,32,0
2875,13,32,0,32,0
2875,14,32,0,32,0
3784,1,8,0,128,0
3784,2,8,0,128,0
3784,5,1,0,1024,0
3784,4,8,0,128,0
3784,6,2,0,512,0
3784,7,4,0,256,0
3784,8,8,0,128,0
3784,9,16,0,64,0
3784,10,32,0,32,0
3784,11,32,0,32,0
3784,12,32,0,32,0
3784,13,32,0,32,0
3784,14,32,0,32,0
4720,1,8,0,128,0
4720,2,8,0,128,0
4720,5,1,0,1024,0
4720,4,8,0,128,0
4720,6,2,0,512,0
4720,7,4,0,256,0
4720,8,8,0,128,0
4720,9,16,0,64,0
4720,10,32,0,32,0
4720,11,32,0,32,0
4720,12,32,0,32,0
4720,13,32,0,32,0
4720,14,32,0,32,0
5650,1,8,0,128,0
5650,2,8,0,128,0
5650,5,1,0,1024,0
5650,4,8,0,128,0
5650,6,2,0,512,0
5650,7,4,0,256,0
5650,8,8,0,128,0
5650,9,16,0,64,0
5650,10,32,0,32,0
5650,11,32,0,32,0
5650,12,32,0,32,0
5650,13,32,0,32,0
5650,14,32,0,32,0
6608,1,8,0,128,0
6608,2,8,0,128,0
6608,5,1,0,1024,0
6608,4,8,0,128,0
6608,6,2,0,512,0
6608,7,4,0,256,0
6608,8,8,0,128,0
6608,9,16,0,64,0
6608,10,32,0,32,0
6608,11,32,0,32,0
6608,12,32,0,32,0
6608,13,32,0,32,0
6608,14,32,0,32,0
7693,1,8,0,128,0
7693,2,8,0,128,0
7693,5,1,0,1024,0
7693,4,8,0,128,0
7693,6,2,0,512,0
7693,7,4,0,256,0
7693,8,8,0,128,0
7693,9,16,0,64,0
7693,10,32,0,32,0
7693,11,32,0,32,0
7693,12,32,0,32,0
7693,13,32,0,32,0
7693,14,32,0,32,0
8740,1,8,0,128,0
8740,2,8,0,128,0
8740,5,1,0,1024,0
8740,4,8,0,128,0
8740,6,2,0,512,0
8740,7,4,0,256,0
8740,8,8,0,128,0
8740,9,16,0,64,0
8740,10,32,0,32,0
8740,11,32,0,32,0
8740,12,32,0,32,0
8740,13,32,0,32,0
8740,14,32,0,32,0
9603,1,8,0,128,0
9603,2,8,0,128,0
9603,5,1,0,1024,0
9603,4,8,0,128,0
9603,6,2,0,512,0
9603,7,4,0,256,0
9603,8,8,0,128,0
9603,9,16,0,64,0
9603,10,32,0,32,0
9603,11,32,0,32,0
9603,12,32,0,32,0
9603,13,32,0,32,0
9603,14,32,0,32,0
10513,1,8,0,128,0
10513,2,8,0,128,0
10513,5,1,0,1024,0
10513,4,8,0,128,0
10513,6,2,0,512,0
10513,7,4,0,256,0
10513,8,8,0,128,0
10513,9,16,0,64,0
10513,10,32,0,32,0
10513,11,32,0,32,0
10513,12,32,0,32,0
10513,13,32,0,32,0
10513,14,32,0,32,0
11415,1,8,0,128,0
11415,2,8,0,128,0
11415,5,1,0,1024,0
11415,4,8,0,128,0
11415,6,2,0,512,0
11415,7,4,0,256,0
11415,8,8,0,128,0
11415,9,16,0,64,0
11415,10,32,0,32,0
11415,11,32,0,32,0
11415,12,32,0,32,0
11415,13,32,0,32,0
11415,14,32,0,32,0
12300,1,8,0,128,0
12300,2,8,0,128,0
12300,5,1,0,1024,0
12300,4,8,0,128,0
12300,6,2,0,512,0
12300,7,4,0,256,0
12300,8,8,0,128,0
12300,9,16,0,64,0
12300,10,32,0,32,0
12300,11,32,0,32,0
12300,12,32,0,32,0
12300,13,32,0,32,0
12300,14,32,0,32,0
13213,1,8,0,128,0
13213,2,8,0,128,0
13213,5,1,0,1024,0
13213,4,8,0,128,0
13213,6,2,0,512,0
13213,7,4,0,256,0
13213,8,8,0,128,0
13213,9,16,0,64,0
13213,10,32,0,32,0
13213,11,32,0,32,0
13213,12,32,0,32,0
13213,13,32,0,32,0
13213,14,32,0,32,0
14129,1,8,0,128,0
14129,2,8,0,128,0
14129,5,1,0,1024,0
14129,4,8,0,128,0
14129,6,2,0,512,0
14129,7,4,0,256,0
14129,8,8,0,128,0
14129,9,16,0,64,0
14129,10,32,0,32,0
14129,11,32,0,32,0
14129,12,32,0,32,0
14129,13,32,0,32,0
14129,14,32,0,32,0
15053,1,8,0,128,0
15053,2,8,0,128,0
15053,5,1,0,1024,0
15053,4,8,0,128,0
15053,6,2,0,512,0
15053,7,4,0,256,0
15053,8,8,0,128,0
15053,9,16,0,64,0
15053,10,32,0,32,0
15053,11,32,0,32,0
15053,12,32,0,32,0
15053,13,32,0,32,0
15053,14,32,0,32,0
15940,1,8,0,128,0
15940,2,8,0,128,0
15940,5,1,0,1024,0
15940,4,8,0,128,0
15940,6,2,0,512,0
15940,7,4,0,256,0
15940,8,8,0,128,0
15940,9,16,0,64,0
15940,10,32,0,32,0
15940,11,32,0,32,0
15940,12,32,0,32,0
15940,13,32,0,32,0
15940,14,32,0,32,0
16877,1,8,0,128,0
16877,2,8,0,128,0
16877,5,1,0,1024,0
16877,4,8,0,128,0
16877,6,2,0,512,0
16877,7,4,0,256,0
16877,8,8,0,128,0
16877,9,16,0,64,0
16877,10,32,0,32,0
16877,11,32,0,32,0
16877,12,32,0,32,0
16877,13,32,0,32,0
16877,14,32,0,32,0
17740,1,8,0,128,0
17740,2,8,0,128,0
17740,5,1,0,1024,0
17740,4,8,0,128,0
17740,6,2,0,512,0
17740,7,4,0,256,0
17740,8,8,0,128,0
17740,9,16,0,64,0
17740,10,32,0,32,0
17740,11,32,0,32,0
17740,12,32,0,32,0
17740,13,32,0,32,0
17740,14,32,0,32,0
18773,1,8,0,128,0
18773,2,8,0,128,0
18773,5,1,0,1024,0
18773,4,8,0,128,0
18773,6,2,0,512,0
18773,7,4,0,256,0
18773,8,8,0,128,0
18773,9,16,0,64,0
18773,10,32,0,32,0
18773,11,32,0,32,0
18773,12,32,0,32,0
18773,13,32,0,32,0
18773,14,32,0,32,0
18773,15,32,0,32,0
18773,16,32,0,32,0
18773,17,8,0,128,0
18773,18,2,0,512,0
18773,19,8,0,128,0
18773,20,8,0,128,0
20713,1,8,0,128,0
20713,2,8,0,128,0
20713,5,1,0,1024,0
20713,4,8,0,128,0
20713,6,2,0,512,0
20713,7,4,0,256,0
20713,8,8,0,128,0
20713,9,16,0,64,0
20713,10,32,0,32,0
20713,11,32,0,32,0
20713,12,32,0,32,0
20713,13,32,0,32,0
20713,14,32,0,32,0
20713,15,32,0,32,0
20713,16,32,0,32,0
20713,17,8,0,128,0
20713,18,2,0,512,0
20713,19,8,0,128,0
20713,20,8,0,128,0
22733,1,8,0,128,0
22733,2,8,0,128,0
22733,5,1,0,1024,0
22733,4,8,0,128,0
22733,6,2,0,512,0
22733,7,4,0,256,0
22733,8,8,0,128,0
22733,9,16,0,64,0
22733,10,32,0,32,0
22733,11,32,0,32,0
22733,12,32,0,32,0
22733,13,32,0,32,0
22733,14,32,0,32,0
22733,15,32,0,32,0
22733,16,32,0,32,0
22733,17,8,0,128,0
22733,18,2,0,512,0
22733,19,8,0,128,0
22733,20,8,0,128,0
24928,1,8,0,128,0
24928,2,8,0,128,0
24928,5,1,0,1024,0
24928,4,8,0,128,0
24928,6,2,0,512,0
24928,7,4,0,256,0
24928,8,8,0,128,0
24928,9,16,0,64,0
24928,10,32,0,32,0
24928,11,32,0,32,0
24928,12,32,0,32,0
24928,13,32,0,32,0
24928,14,32,0,32,0
24928,15,32,0,32,0
24928,16,32,0,32,0
24928,17,8,0,128,0
24928,18,2,0,512,0
24928,19,8,0,128,0
24928,20,8,0,128,0
26971,1,8,0,128,0
26971,2,8,0,128,0
26971,5,1,0,1024,0
26971,4,8,0,128,0
26971,6,2,0,512,0
26971,7,4,0,256,0
26971,8,8,0,128,0
26971,9,16,0,64,0
26971,10,32,0,32,0
26971,11,32,0,32,0
26971,12,32,0,32,0
26971,13,32,0,32,0
26971,14,32,0,32,0
26971,15,32,0,32,0
26971,16,32,0,32,0
26971,17,8,0,128,0
26971,18,2,0,512,0
26971,19,8,0,128,0
26971,20,8,0,128,0
29214,1,8,0,128,0
29214,2,8,0,128,0
29214,5,1,0,1024,0
29214,4,8,0,128,0
29214,6,2,0,512,0
29214,7,4,0,256,0
29214,8,8,0,128,0
29214,9,16,0,64,0
29214,10,32,0,32,0
29214,11,32,0,32,0
29214,12,32,0,32,0
29214,13,32,0,32,0
29214,14,32,0,32,0
29214,15,32,0,32,0
29214,16,32,0,32,0
29214,17,8,0,128,0
29214,18,2,0,512,0
29214,19,8,0,128,0
29214,20,8,0,128,0
31385,1,8,0,128,0
31385,2,8,0,128,0
31385,5,1,0,1024,0
31385,4,8,0,128,0
