Time,PID,Tickets,Pass,Stride,Runtime
100,1,8,640,128,26
100,2,8,768,128,19
100,5,1,2153,1024,1
100,4,8,1946,128,130
100,6,2,2271,512,2
100,7,4,2137,256,3
100,8,8,2240,128,6
100,9,16,2122,64,9
100,10,32,2120,32,16
100,11,32,2135,32,16
100,12,32,2141,32,16
100,13,32,2113,32,15
100,14,32,2117,32,15
292,1,8,640,128,26
292,2,8,768,128,19
292,5,1,3177,1024,2
292,4,8,3093,128,261
292,6,2,3295,512,4
292,7,4,3161,256,7
292,8,8,3136,128,13
292,9,16,3146,64,25
292,10,32,3144,32,48
292,11,32,3127,32,47
292,12,32,3133,32,47
292,13,32,3137,32,47
292,14,32,3141,32,47
490,1,8,640,128,26
490,2,8,768,128,19
490,5,1,4201,1024,3
490,4,8,4137,128,396
490,6,2,4319,512,6
490,7,4,4185,256,11
490,8,8,4288,128,22
490,9,16,4170,64,41
490,10,32,4168,32,80
490,11,32,4183,32,80
490,12,32,4189,32,80
490,13,32,4193,32,80
490,14,32,4165,32,79
687,1,8,640,128,26
687,2,8,768,128,19
687,5,1,5225,1024,4
687,4,8,5156,128,526
687,6,2,5343,512,8
687,7,4,5209,256,15
687,8,8,5312,128,30
687,9,16,5194,64,57
687,10,32,5192,32,112
687,11,32,5207,32,112
687,12,32,5213,32,112
687,13,32,5185,32,111
687,14,32,5189,32,111
858,1,8,640,128,26
858,2,8,768,128,19
858,5,1,6249,1024,5
858,4,8,6057,128,657
858,6,2,6367,512,10
858,7,4,6233,256,19
858,8,8,6208,128,37
858,9,16,6090,64,71
858,10,32,6088,32,140
858,11,32,6103,32,140
858,12,32,6109,32,140
858,13,32,6081,32,139
858,14,32,6085,32,139
1026,1,8,640,128,26
1026,2,8,768,128,19
1026,5,1,7273,1024,6
1026,4,8,6948,128,786
1026,6,2,7391,512,12
1026,7,4,7001,256,22
1026,8,8,6976,128,43
1026,9,16,6986,64,85
1026,10,32,6984,32,168
1026,11,32,6999,32,168
1026,12,32,7005,32,168
1026,13,32,6977,32,167
1026,14,32,6981,32,167
1250,1,8,640,128,26
1250,2,8,768,128,19
1250,5,1,8297,1024,7
1250,4,8,8120,128,922
1250,6,2,8415,512,14
1250,7,4,8281,256,27
1250,8,8,8256,128,53
1250,9,16,8138,64,103
1250,10,32,8168,32,205
1250,11,32,8151,32,204
1250,12,32,8157,32,204
1250,13,32,8161,32,204
1250,14,32,8165,32,204
1446,1,8,640,128,26
1446,2,8,768,128,19
1446,5,1,9321,1024,8
1446,4,8,9134,128,1051
1446,6,2,9439,512,16
1446,7,4,9305,256,31
1446,8,8,9280,128,61
